aggregation_level,service_mode,reporting_group,measure_group,measure,category,weighted_percent,ObjectId
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Northeastern to Longwood Medical Area,Other Demographics,Age,Under 18,0.0171686529433008,7755
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Medford/Tufts,Vehicles,Cars per Capita,Strictly between 0.5 and 1,0.0429333034201406,7756
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Alternative Modes,Alternative Mode,Private Shuttle or Other Transit,0.00852124514520897,7757
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Park Street,Race and Ethnicity,Race,Other,0.0687692965373106,7758
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Race and Ethnicity,Race,American Indian or Alaska Native,0.0112061267667951,7759
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Northeastern to Longwood Medical Area,Other Demographics,Age,18 to 25,0.462571325388227,7760
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Medford/Tufts,Vehicles,Cars per Capita,1 or more,0.0880569610164188,7761
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Alternative Modes,Alternative Mode,Other,0,7762
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Park Street,Race and Ethnicity,Race,Prefer not to say,0.0190087149665357,7763
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Race and Ethnicity,Race,Asian,0.145781302449873,7764
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Northeastern to Longwood Medical Area,Other Demographics,Age,26 to 34,0.276229685807151,7765
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Medford/Tufts,Vehicles,Usable Cars,0,0.450593092220026,7766
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Alternative Modes,Used Alternative Mode,No,0.909227949024346,7767
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Park Street,Race and Ethnicity,Title VI Minority,Yes,0.557021596054281,7768
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Race and Ethnicity,Race,Black or African American,0.133067178985752,7769
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Medford/Tufts,Vehicles,Usable Cars,1,0.40448307942784,7770
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Northeastern to Longwood Medical Area,Other Demographics,Age,35 to 44,0.145388226796678,7771
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Race and Ethnicity,Race,Middle Eastern or North African,0.0302403799391097,7772
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Alternative Modes,Used Alternative Mode,Yes,0.0907720509756543,7773
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Park Street,Race and Ethnicity,Title VI Minority,No,0.442978403945719,7774
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Race and Ethnicity,Race,Native Hawaiian or other Pacific Islander,0.00318785528789792,7775
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Fares,Fare Product,Monthly Pass,0.467474556669532,7776
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Medford/Tufts,Vehicles,Usable Cars,2,0.13279451098965,7777
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Northeastern to Longwood Medical Area,Other Demographics,Age,45 to 64,0.0779126038280968,7778
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Park Street,Trip Purpose and Frequency,Frequency,6 to 7 days per week,0.022392671150206,7779
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Race and Ethnicity,Race,White,0.649014134360897,7780
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Fares,Fare Product,Pay-as-you-go,0.401342180170237,7781
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Medford/Tufts,Vehicles,Usable Cars,3 or more,0.012129317362484,7782
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Northeastern to Longwood Medical Area,Other Demographics,Age,65 or older,0.0207367280606717,7783
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Park Street,Trip Purpose and Frequency,Frequency,5 days per week,0.357810069882975,7784
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Race and Ethnicity,Race,Other,0.0574047976527322,7785
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Fares,Fare Product,7-day Pass,0.0979058284878047,7786
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Northeastern to Longwood Medical Area,Access Mode,Access to First MBTA Service,Walked,0.962635431503015,7787
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Northeastern to Longwood Medical Area,Other Demographics,Gender,Female,0.581146025878004,7788
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Park Street,Trip Purpose and Frequency,Frequency,3 to 4 days per week,0.308833792600694,7789
